X,Y,Z,Cancers
-2.034123976199816468e+02,3.520603723413020134e+02,1.072726800877465081e+02,0.000000000000000000e+00
2.340773815202245771e+02,8.836592432631949379e+00,1.630100565715639220e+02,0.000000000000000000e+00
2.581466405309217862e+02,-2.802879193055208162e+00,1.679265191618456470e+02,0.000000000000000000e+00
1.182283361236116832e+02,-4.047425296362712288e+02,1.136068035807885792e+02,0.000000000000000000e+00
-4.245962520955637274e+02,1.795608977263112251e+02,-7.864576761526583581e+00,0.000000000000000000e+00
-5.894215177703241579e+02,-1.343516402037202511e+02,-1.116907545166367299e+02,0.000000000000000000e+00
3.009874103256538547e+02,1.266848455919606380e+02,1.356453626962772034e+02,0.000000000000000000e+00
-4.807201620515767786e+02,1.280652340211770479e+02,-1.221299351005561284e+01,0.000000000000000000e+00
1.085724718401088182e+02,-3.263528116569837607e+02,1.006013644000040586e+02,0.000000000000000000e+00
-4.767656707875323150e+02,1.004280162952440776e+02,-3.877932113555075233e+01,0.000000000000000000e+00
2.431437096097606911e+02,2.854920651581364268e+02,1.166147657027086382e+02,0.000000000000000000e+00
3.064916222259176379e+02,1.682338310087416460e+02,1.346595349772990176e+02,0.000000000000000000e+00
-4.199604573975906305e+02,2.059999597836555552e+02,3.587692739109746043e+01,0.000000000000000000e+00
-4.715429334730777100e+02,2.242259949539711954e+02,-2.619221012747927091e+01,0.000000000000000000e+00
3.588483860695575913e+02,3.293590235637456090e+02,-3.667650687702789725e+01,0.000000000000000000e+00
-4.641138933019179262e+02,1.064110766965188759e+02,-5.777137414419577510e+01,0.000000000000000000e+00
2.400767166980051570e+02,6.114538315062147511e+00,1.669175159312401888e+02,0.000000000000000000e+00
-5.899130063595762294e+02,-5.775185792652455063e+01,-1.137271186969261976e+02,0.000000000000000000e+00
-3.171650293378760352e+02,-1.578606417508170434e-01,3.098225838705240065e+01,0.000000000000000000e+00
-3.465484501518876073e+02,-1.244274748978015879e+02,2.438567595169813274e+01,0.000000000000000000e+00
2.765068534426718543e+02,2.709853374457480868e+02,1.365770561034450168e+02,0.000000000000000000e+00
-5.754459870513055648e+02,-1.174095443385028688e+02,-8.573042772914007514e+01,0.000000000000000000e+00
2.434044744992363860e+02,1.074940826841717865e+02,1.551926849503100243e+02,0.000000000000000000e+00
3.232757914275703115e+02,2.797071273764120178e+02,1.026206907446496075e+02,0.000000000000000000e+00
3.433451759792608726e+01,-1.140044312835185423e+02,1.383395939477721583e+02,0.000000000000000000e+00
-3.586850744265487947e+02,2.050925844757346965e+02,4.573172743125171635e+00,0.000000000000000000e+00
-5.700080564196101705e+02,-7.259352866828407969e+01,-8.871227217494281092e+01,0.000000000000000000e+00
-4.634422671655071326e+02,1.228489816179853733e+02,-2.891287484777334527e+01,0.000000000000000000e+00

